               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.057525,            0.034138,                   0,             0.72473,             0.44444,             0.48346,             0.19713,            0.057014,            0.024497,                   0,           0.0090843,           0.0090843,           0.0090843
                  39,            0.053737,            0.029814,                   0,             0.71642,             0.43672,             0.49957,             0.26304,            0.049655,            0.024908,                   0,           0.0090595,           0.0090595,           0.0090595
                  40,            0.051495,            0.034265,                   0,             0.63435,             0.35802,             0.39968,             0.12202,            0.061143,            0.024037,                   0,           0.0090347,           0.0090347,           0.0090347
                  41,            0.054656,            0.031117,                   0,              0.7909,             0.51852,             0.55919,             0.25283,            0.052317,              0.0255,                   0,             0.00901,             0.00901,             0.00901
                  42,            0.051373,            0.030247,                   0,             0.67778,             0.46914,             0.48622,             0.25393,            0.049967,            0.025639,                   0,           0.0089853,           0.0089853,           0.0089853
                  43,            0.053014,            0.029404,                   0,             0.76764,             0.54321,             0.56953,             0.27252,            0.046791,            0.023988,                   0,           0.0089605,           0.0089605,           0.0089605
                  44,            0.048419,            0.032364,                   0,             0.75123,              0.5679,             0.59156,             0.23613,             0.04968,            0.024178,                   0,           0.0089358,           0.0089358,           0.0089358
                  45,            0.051776,            0.030885,                   0,             0.77775,             0.50617,             0.60026,             0.29054,            0.046317,            0.024048,                   0,            0.008911,            0.008911,            0.008911
                  46,            0.048468,            0.031631,                   0,             0.83088,             0.54592,             0.62057,             0.31806,            0.044675,            0.024226,                   0,           0.0088863,           0.0088863,           0.0088863
                  47,            0.051933,            0.029442,                   0,               0.842,              0.5679,             0.64767,             0.37066,             0.04331,            0.022829,                   0,           0.0088615,           0.0088615,           0.0088615
                  48,            0.047213,            0.030023,                   0,             0.79049,             0.58025,             0.64029,             0.35893,            0.045715,            0.022593,                   0,           0.0088368,           0.0088368,           0.0088368
                  49,            0.049124,            0.031521,                   0,             0.71027,             0.49383,             0.55378,             0.23143,            0.055661,             0.02114,                   0,            0.008812,            0.008812,            0.008812
                  50,            0.047546,            0.028653,                   0,             0.79136,             0.40741,             0.48009,             0.29487,            0.059616,            0.019565,                   0,           0.0087872,           0.0087872,           0.0087872
                  51,            0.048853,            0.031495,                   0,             0.75011,             0.51883,             0.58811,             0.34122,            0.052303,            0.020859,                   0,           0.0087625,           0.0087625,           0.0087625
                  52,             0.04885,            0.030147,                   0,             0.77564,             0.59759,             0.66104,             0.33288,            0.048172,            0.021922,                   0,           0.0087378,           0.0087378,           0.0087378
                  53,            0.049762,            0.028744,                   0,             0.80303,             0.64198,             0.72642,             0.40205,            0.041176,            0.022368,                   0,            0.008713,            0.008713,            0.008713
                  54,            0.046619,            0.029836,                   0,             0.76781,             0.62963,             0.69474,             0.36164,            0.043161,            0.021896,                   0,           0.0086882,           0.0086882,           0.0086882
                  55,            0.048225,            0.029901,                   0,              0.8837,             0.69136,             0.75202,             0.44899,            0.037391,            0.021208,                   0,           0.0086635,           0.0086635,           0.0086635
                  56,            0.045884,             0.02822,                   0,             0.84278,             0.69136,               0.724,             0.38047,            0.040726,            0.021051,                   0,           0.0086388,           0.0086388,           0.0086388
                  57,            0.042911,            0.029921,                   0,             0.79587,             0.67901,             0.72791,             0.36352,             0.04123,            0.020595,                   0,            0.008614,            0.008614,            0.008614
                  58,            0.044483,            0.028398,                   0,             0.80787,             0.64198,             0.66633,               0.334,            0.044359,            0.020418,                   0,           0.0085893,           0.0085893,           0.0085893
                  59,            0.045872,            0.027025,                   0,             0.90309,             0.67901,              0.7633,             0.49601,            0.035499,            0.020483,                   0,           0.0085645,           0.0085645,           0.0085645
                  60,            0.045078,             0.02764,                   0,              0.8653,             0.63451,             0.75016,             0.43562,            0.038278,            0.020194,                   0,           0.0085398,           0.0085398,           0.0085398
